Email Address,How are you feeling?,Please share a bit more,Is there anything we could do to help,Recommendation Liklihood
TestEmailAddress01@Therandomemailaddy.com,1,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,1
TestEmailAddress@TheRandomEmailAddy.Com05,1,Need to get some air,Please can we get allocated exercise time.,1
TestEmailAddress@TheRandomEmailAddy.Com15,1,Really need to get rid of this depression :(,I need to talk to a professional.,1
TestEmailAddress@TheRandomEmailAddy.Com45,1,Struggling to keep up with all of the calls and feeling overwhelmed.,We need stricter breaks in our calendar.,1
TestEmailAddress@TheRandomEmailAddy.Com55,1,Really depressed!,Id love to connect with more people.,1
TestEmailAddress@TheRandomEmailAddy.Com75,1,Need to talk to someone ASAP!,Id really like to talk to a professional.,1
TestEmailAddress@TheRandomEmailAddy.Com95,1,This lockdown is getting me seriously frustrated.,I need to get out and really get some exercise.,1
TestEmailAddress@TheRandomEmailAddy.Com105,1,My kids are driving me Me MENTAL!,I need to find a separate space to to work.,1
TestEmailAddress@TheRandomEmailAddy.Com125,1,I just cant keep up.,I need to work to manage my time properly.,1
TestEmailAddress@TheRandomEmailAddy.Com135,1,I really need to get some help.,I actually feel completely over worked.,8
TestEmailAddress@TheRandomEmailAddy.Com155,1,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,1
TestEmailAddress@TheRandomEmailAddy.Com165,1,Need to get some air,Please can we get allocated exercise time.,8
TestEmailAddress@TheRandomEmailAddy.Com175,1,Really need to get rid of this depression :(,I need to talk to a professional.,1
TestEmailAddress@TheRandomEmailAddy.Com185,1,Struggling to keep up with all of the calls and feeling overwhelmed.,We need stricter breaks in our calendar.,1
TestEmailAddress@TheRandomEmailAddy.Com195,1,Really depressed!,Id love to connect with more people.,1
TestEmailAddress@TheRandomEmailAddy.Com205,1,Need to talk to someone ASAP!,Id really like to talk to a professional.,1
TestEmailAddress@TheRandomEmailAddy.Com215,1,This lockdown is getting me seriously frustrated.,I need to get out and really get some exercise.,1
TestEmailAddress@TheRandomEmailAddy.Com225,1,My kids are driving me Me MENTAL!,I need to find a separate space to to work.,1
TestEmailAddress@TheRandomEmailAddy.Com235,1,I just cant keep up.,I need to work to manage my time properly.,1
TestEmailAddress@TheRandomEmailAddy.Com245,1,I really need to get some help.,I actually feel completely over worked.,1
TestEmailAddress@TheRandomEmailAddy.Com255,1,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,1
TestEmailAddress@TheRandomEmailAddy.Com265,1,Need to get some air,Please can we get allocated exercise time.,1
TestEmailAddress@TheRandomEmailAddy.Com275,1,Really need to get rid of this depression :(,I need to talk to a professional.,1
TestEmailAddress02@Therandomemailaddy.com,2,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,2
TestEmailAddress@TheRandomEmailAddy.Com06,2,Need to get some air,Please can we get allocated exercise time.,2
TestEmailAddress@TheRandomEmailAddy.Com16,2,Really need to get rid of this depression :(,I need to talk to a professional.,8
TestEmailAddress@TheRandomEmailAddy.Com26,2,Struggling to keep up with all of the calls and feeling overwhelmed.,We need stricter breaks in our calendar.,2
TestEmailAddress@TheRandomEmailAddy.Com36,2,Really depressed!,Id love to connect with more people.,2
TestEmailAddress@TheRandomEmailAddy.Com46,2,Need to talk to someone ASAP!,Id really like to talk to a professional.,8
TestEmailAddress@TheRandomEmailAddy.Com56,2,This lockdown is getting me seriously frustrated.,I need to get out and really get some exercise.,8
TestEmailAddress@TheRandomEmailAddy.Com66,2,My kids are driving me Me MENTAL!,I need to find a separate space to to work.,2
TestEmailAddress@TheRandomEmailAddy.Com76,2,I just cant keep up.,I need to work to manage my time properly.,2
TestEmailAddress@TheRandomEmailAddy.Com86,2,I really need to get some help.,I actually feel completely over worked.,2
TestEmailAddress@TheRandomEmailAddy.Com96,2,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,2
TestEmailAddress@TheRandomEmailAddy.Com106,2,Need to get some air,Please can we get allocated exercise time.,2
TestEmailAddress@TheRandomEmailAddy.Com116,2,Really need to get rid of this depression :(,I need to talk to a professional.,2
TestEmailAddress@TheRandomEmailAddy.Com126,2,Struggling to keep up with all of the calls and feeling overwhelmed.,We need stricter breaks in our calendar.,2
TestEmailAddress@TheRandomEmailAddy.Com136,2,Really depressed!,Id love to connect with more people.,2
TestEmailAddress@TheRandomEmailAddy.Com146,2,Need to talk to someone ASAP!,Id really like to talk to a professional.,2
TestEmailAddress@TheRandomEmailAddy.Com156,2,This lockdown is getting me seriously frustrated.,I need to get out and really get some exercise.,2
TestEmailAddress@TheRandomEmailAddy.Com166,2,My kids are driving me Me MENTAL!,I need to find a separate space to to work.,2
TestEmailAddress@TheRandomEmailAddy.Com176,2,I just cant keep up.,I need to work to manage my time properly.,2
